Puan	Yorum
0	Ürünü 4 ay önce bir bayiden aldım. Ürün toplam 1,5 ay garantide durdu 2,5 ayda bende 2 kez şarj soketi ve kapak değişti şarj soketi tekrar bozuldu kapağı en son yapıştırmayıp tutturmuşlar açılma yapıyor ayrıca çerçeve ezmişler ve kablosuda arada yanıyor en son cihazın çerçevesini eritince kablo satın aldım dokunmatiği bozuldu ahize ve hoparlör arada bir gidip geliyor tek artısıda donanımı bu fiayata göre normal bir donanıma sahip.
0	Kapanıp duruyor
0	selam daha once burdan mi max 2 64 gb satin aldim ve kullandiktan sonra şunu farkettim firma cihazlarin ekraninda ips kullanarak urunlerine yazik ediyor cok kalitesi ufak bi açi degisikliginde ekran grilesiyor ki zaten renk canliligi yok gibi dilerim huawie gibi amoled ekrana gecerler saygilar
0	TFT ekran nedir abi bari hesap makinesi ekranı kullansaydınız.
0	Çok kötü çıktı şarjı 2 gün bile gitmedi şebeke sıkıntısı var konuşma yaparken karşı tarafın sesi çok az geliyor büyük ihtimalle bana arızalısı denkgeldi geri iade ettim
0	Kesinlikle almayın pişman olmanız garanti diyebilirim. Herhangi bir markayı kötülemek için yazmıyorum uzun zamandır samsung kullanıcısıyım ve Xiaomi yerine bu telefonu aldım . Bataryası gerçek bir çöp ve bu telefona değil type-c hızlı şarj bile koymamışlar makineye bağımlı gibi prize bağımlı yaşıyorum kesinlikle tavsiye etmem almayın... Normal işleri güzel bir şekilde yapabilirsiniz tatmin eder ama pil durumu insanı çileden çıkartır bilginize...
0	Aldığıma pişman oldum, performansı düşük, kamerası kötü, güncellemelerden sonra yavaşlama çok fazla, uygulamalar bile düzgün çalışmıyor bu telefonda. Başka marka kullananlarda hiç sorun yok. Verilen paraya yazık bence.
0	Daha önce ısınma problemi var diye yorum yapmıştım. Bugün hayalet ekran sebebi ile servise gönderdim.Isınmada bundan oluyor diye tahmin etmekteyim. Servi sorunu yazılım ile çözeceği bilgisini verdi. Sonucu paylaşacağım.
0	6 aydir kullanıyorum. ilk elime gectiginde cok begenmistim. sarji cok uzun süre gidiyor evet ama sürekli donuyor, fotograf kalitesi cok kötü.
0	Arkadaşlar abartılı yorumlara bakarak telefon almaya karar vermeyin.Öncelikle ben daha önce Lg G4 kullanıyordum sonra bu telefona geçtim.1- Kamera abartıldığı kadar kesinlikle iyi değil.SELFİE GÜZEL AMA2- Ses kalitesi düşük seviyelerde kaliteli ama son ses yapınca hoparlör patlak gibi ses çıkartıyor3- iyi yönü yokmu derseniz şarj konusunda harika LG de 3 sarj ile bu performansı veremez4-Tasarım bana göre çok hoş. tutması ve kullanması çok kolayNOT: KAMERA VE SES ÖNEMLİ İSE ALMAYIN
0	kalite güzel ama işlemci yavaş kasıyor.sarz da az gidiyor
0	Telefonla beraber telefonun kulaklığı gelmedi kulaklığın yollanmasını istiyorum 
0	Yüz tanıma yavaş, parmak izi yavaş, kullanım yavaş, telefon görsel güzel ama yavaşlık ve takılmadan telefonu kullanamıyorsunuz bile, Nesine para verilir bunun bilemedim, ihtiyar telefonu olur ancak alo demek için
0	Hızlı şarj özelliği yok. Saatlerce şarj olmasını beklemek zorunda kalıyorsunuz.Kameranın 24 mp yazdığına bakmayın, 13 mp bile a7 2018 den daha iyi çekiyor..
0	Kamera'ya 8 mp yazmışlar ama 1.3 megapiksel gibi çekiyo. 
0	Samsung ne kadar da kötü telefon üretmiş. Yazık. Hızlı şarz yok. Resim odaklama yok. Şarz yeri kötü, Tip C Şarz yeri olmasını geçtim normal şarz yeri kötü ve şarz almayabiliyor. Şarzı uzunda gitmiyor. Ekran geçişleri kötü,Ekran arayüzleri kötü. Geçişleri kötü. Seri değil.Yeni aldım ama kurtulmaya bakıyorum. Benim başıma geldi sizin başınıza gelmesin. Bu paralara diğerleri çok daha iyi. Samsung bitmiş yaa.
0	ürün fiyatını haketmiyir. işlemci kotu on kamera kotu pil kotu malzeme kalitesi kotu. aldanmayin almayin derim..
0	güncel uygulamalar bu android versiyonunda çalışmaz
0	2019 model telefonda HIZLI ŞARJ ÖZELLİĞİ YOK, ve 3 gb ram çok az. sadece fotoğraf çekmek için işe yarar ama oyun falan oynamayıdüşünüyosanız olmaz.
0	Şarjı çok kısa gidiyor
0	4 aydır kullanıyorum arada bir donma oluyor sayet virusumsu 5-6 uygulama var ne yaparsan yap kalkmıyor açılıp kapanınca geri yükleniyor. Bu fiyat aralığında alınacak tek telefon Gm8 bence
0	1 aydan fazla kullanıyorum bu sorunu yaşamaya yeni başladım. oyundayken wifi 2 çubuk çekiyor oyundan çıkınca full cekiyor. mobil veri de rezaletbunların sorun nedeni telefonmudur bilemiyorum
0	Ürün çok ısınıyor inanılmazbir şekilde hem de memnun kalmadım bunca para verip böyle bir telefon gelmesi çok rahatsız etti
0	Fiyatı dikkate alınca çok şey beklememek lazım. Aktif bir kullanıcı olarak Eksileri1. Ses karşıya az gidiyor. Aradığım kişilerin geri dönüşleri2. Düşme açısından mıdır bilmiyorum. Bir kez yere düştü kasa ve ekran çatladı. Telefon hala çalışıyor.3. Yedek parça pahalı4. Elinize aldığınızda kendi kendine arama yapıyor. Tasarım ya da yazılım hatasıArtıları1. Batarya süper
0	Zil sesi çok az çıkıyor ekranı da hassas algılamıyor biraz bastırmak gerekiyor galiba. Benim gibi sinir olmak İstemiyorsanız iyi düşünün ??
0	Yaklaşık iki yıl önce kendime altı ay sonrasında da eşime almıştım. Birinci yılı doldurduktan sonra sıkıntılar başlıyor ilk sıkıntısı ekrandaydi güncelleme ile halloldu asıl sorun şebekede, şebeke git gel yapıyor. Mesajlarım çoğu zamanbirkaç saat geç gidip geç geliyor bu yüzden internet bankacılığına dahi girmekte zorlanıyorum. Bir dönem kendi kendine kapanıyordu şimdi yapmıyor ama şu an aramayı açamıyorum hemen yandan ekranı kapatıp açıyorum sonra açma tuşu aktif oluyor. Şarjı iyi gidiyor ama şarj aleti çabuk öldü, aldığım zamanın neredeyse iki katı sürede şarj ediyor. Her telefonun bir takım arızaları çıkıyor ama ben bundan bıktım. Aldığıma pişman oldum Allah tan ucuza aldık.
0	imkanım olmasına rağmen alınmaz bu fiyata diyorum, mi6 ve mi8 alternatif olarak çok daha iyi
0	Ön paneldeki huawei yazisindan vazgeç artık İlk okul çocuğu gibi heryerine adını yazmana gerek yok arkaya bi logo koy yeter
0	Ürün şahane tek kelime ile ürün konusunda hiçbir sıkıntım yok fakat paketlemesi olsun kargo hızı olsun tek kelime ile ÇÖP idi cidden baloncuklu poşet olmadan direk büyükçe bir kutuya koymuşlar içinde bir güzel bir sağa bir sola kaymıştır taşınma sırasında gariptir ki kutuda bir hasar yoktu cihazdada bir hasar yoktu
0	bu fiyata marka takıntısı olmayanlar için başka cihaz tavsiye ederim:-
0	Epey bi araştırıp aldığımı sanıyordum ama yorumlara kanıp almışım bu telefonu. Siz sakın aynı hataya düşmeyin. ABARTILDIĞI GİBİ Bİ PİL ÖMRÜ KESİNLİKLE YOK! KAMERASI ÇOK İYİ AMA VİDEO ÇEKİMİNDE ODAKLANAMIYOR BULANIKLAŞIYOR. BELKİ DE TEK ARTISI HIZLI ŞARJ OLMASI. Hiç de abartıldığı gibi bir uzun kullanım sunmuyor. KEŞKE ALMASAYDIM. ASLA BU PARAYI HAK ETMİYOR.
0	Telefon alalı 1 yıl oldu, batarya 1 gün anca dayanıyor. kamera ise berbat. bir daha çin malı telefon almam. kamera gercek anlamda cok kotu. tavsiye etmiyorum
0	Telefonda paketlemede en ufak bir sorun yoktu harika paketlenmiş. Sadece 1 gece öncesinden sipariş vermeme rağmen ertesi gün de keyfiyetten kargoyu vermediler ürün 15 şubatta geldi. Tahmin edersiniz ki hiçbir anlamı kalmadı. Bu nedenle tek yıldız cep ekspress e.
0	Bu işlemci kaldımı,huawei ye yakıştıramadım en azından orta segmente yakışır bir işlemci olsaydı
0	telefon genel olarak güzel ama bi yazılım hatası var telefona çağrı geç düsüyor yani telefonu 2 kez çaldırıyosun çağrı 3. çalmada düşüyor telefona
0	hepsi buradaniki farkli marka telefon aldım ikisininde fiyatı aynı .Redmi 6a ve yerli Venüs V4.inanin bana bu fiyatlarda telefon alacaksınız kesinlikle Venüs V4 alın.5000mah batarya ve kamerasıyla sağlamlık olarakta bu telefona on ceker.bu fiyata gururla yerli diyorum
0	verilen paraya yazık almayın YORUMLARI OKUYUP ALDIM FAKAT BİRAZ DAHA BEKLEYİP VE DURUMLARI BİRAAZ DAHA ZORLAYIP BİR UST SEGMENTE GECMEKTE FAYDA VAR
0	dün akşam sipariş ettim bugün elime geçti. kutuyu açtım sürpriz çıktı tlfnun şarj soketi Micro USB, kutudan çıkan şarj kablosu c-tip USB bu nasıl oluyor
0	Hoparlörleri kötü.Telefon yükselttim. A3 2016 'da telefonu masaya koyup müzik dinlerdim. Bu resmen kulakları yoruyor seste çok düşüş yaşadım. Ekran güzel
0	Urunu 1 ay once aldım annem icin anneler gununde, ilk gunden beri devamlı kapaniyor kendi kendine tekrar acması 5-6 dakkayı buluyor acma kapama tusuna devamli basmamiza ragmen kafasina gore bir aciliyor bir acilmiyor, zamansizliktan ilgilenemedigim icin 14 gun iade suresini kacirdim bakalim ilk firsatta aldigim saticiya ulasip durumu anlaticam sonucunu burada paylasicam.
0	nokia nın kullandığı windows phone artık güncellenmiyor. whatsapp ı bile kullanamıyorum. asla tavsiye etmem. akıllı telefon alınacaksa android veya ios işletim sistemli bir telefon olmalı. windows phone malesef çağın gereksinimlerini karşılamıyor. whatsapp, facebook, instagram gibi çok popüler uygulamaları bile kullanmak konusunda sorun yaşayacaksınız.
0	ekranı iyi değil tavsiye etmem
0	ürünü aldıktan sonra bir ay içerisinde şebekesi gitmeye başladı açıp kapatıyordum, şu anda 2 haftadır tamamen şebekesiz ve toplamda 2 aydır elimde ürün.. kesinlikle tavsiye etmiyorum..
0	Telefonu aldım 1 ay oldu kasma var uygulamalar kendi kendine kapanıyor telefon arama yapmıyor bir anda tak diye gidiyor yazık oldu verdiğim paraya
0	Çok kötü kesinlikle almayın 
0	Huwai mate 20 liteBittibitiyordan sakın almayın satıcı arkasında durmuyor cihazlar sıkıntılı çıkıyor
0	arkadaslar kisa ve öz yazicam.telefonlardan iyi anlayan biri olarak telefon gorsellik olarak guzel ama şarj olayı en kötüsu.daha yeni alinmis bir telefonun sarji zar zor 1 gun gidiyorsa 3-5 ay sonrasini kesinlkle dusunemiyorum.gidip 100-200 fazla verin baska bi telefon alin.
0	Paketleme çok basitti kutu zarar görmüştü ama telefon sağlamdı.
0	son guncellemeden sonra mesaj bile yazmak zor internet cekmiyor sebeke sorunu. 6 aydir kullaniyom çöp oldu tek iyi yani sarji uzun gidiyo.
0	12+2 mp kamera var ama 12si hikaye, 2 belki .bundan daha iyi fotoğraf çeken 2 mp kameralı telefonlar gördüm.
0	X’den geçtim gerçekten çok fark var. Keşke geçmeseydim. Ekran o kadar kötü ki telefon o kadar kalın ki kesinlikle almayın derim. Pro alıyosanız alın ama sakın bunu almayın. Yazık.
0	telefonu alalı bir hafta kadar oldu performansalbbir problem yok fakat özellikle Instagram'da daha çok belli oluyor fotoğraflar ekrana tam oturmuyor ve kesik çıkıyor.
0	Kamerası oldukça bulanık, yortumlarda anlatıldığı gibi kesinlikl değil. iyi bir kamera isteniyorsa tavsiye etmem. Ama hız noktasında güzel
0	Arkadaşlar iphone dan bu telefona geçmek gibi bir hata yapmayın sakın. Telefonda mikrofon rezalet müzik konserlerinde çektiğim videoların hepsi çöp oldu. Yüksek sesi yiyince sırf cızırtı çıkıyor. iphone 6 da böyle bir sorun yoktu. Gps sıkıntılı. Yandexde yolda sapıtıyor. Ana yolda giderken yan taraftaki yan yoldaymışım gibi gösteriyor. Kaç kere döndüm dolaştım. Diğer türlü f/p ürünü olabilir ama bana göre değil.
0	nötr
0	şarzı 1 gün ancak gıdıyor..şebeke sorunu fazlasıyla var..kamerası vasat
0	iphone ürünlerin ekran sorunu kesinlikle tavsiye etmiyorum ben kullanıyorum garantiden telefonum gelmiyor bi türlü 1 hafta içinde 2 defa ekran değişti toplam 3 kere ekran değişti bir sürü sorunu var telefonumu batarya saglamlıgı %95 hmemn hemen iki yıllık telefon olmasına rağmen.
0	bu parayı bu telefona verene kadar gidin samsung a20 alin paranıza yazık bu telefonu en fazla 6 ay kullanırsınız
0	Şebeke sıkıntısı var üründe 
0	Yorumlara bakarak aldım kamerada çok iyi zannedip aldım kamerası berbat bu paraya böyle kötü kamera beklemiyordum
0	Farklı bir siteden aldığım ve ancak 10 gün kullanabildiğim ürünü teknik servise göndermek durumunda kaldım ve servisraporunda ''hayalet ekran''açıklamasıyla ürüne ücret iadesi geldi. Belki kronik bir sorun değildir ama bir daha tercih etmem.
0	Ürün bahsedilen gibi değil. Gelir gelmez bataryası şişti ve telefon yavaşlıyor. Seside oldukça az telefonun ve boyutlarıda cebe sığma konusunda sorun çıkartıyor. Kameranın arkası telefonu açar açmaz ısınıyor.
0	işte kullanmak için yedek ucuz olsun diye aldım çok kalitesiz imei kayıtlı ancak şarz aleti hemen bozuldu ses az duyuluyor adi bir plastiği var basit bişey oyuncak gibi duruyor.
0	telefonu yeni aldım dokunmatiği çok iyi değil ayrıca Pil 4000 amper değil bence 3000 amper gibi pilden çok büyük bekletiniz olmasın ben öyle telefon ile çok uğraşan biri değilim oyun falan oynamam telefonumda oyun bile yok günde video izlemem 15-20 dk bir telefon görüşmem olur sosyal medya ile işim olmaz buna rağmen pil 36 saatte bitti yani bir buçuk gün dayandı bilginiz olsun üstelik Pil tasarrufu açık halde Pil konusunda beni hüsrana uğrattı onun dışında her şey iyi gayet hızlı bir telefon 
0	Huawei geçen sene patlama yaptı bu sene hemen cıvıtmış.Bunu alacağınıza mate 20 pro alın o daha üstün özelliklere sahip.Mate 30 bekleyecekler ise 8bin? fiyatı gözden çıkarsın o parayı vermek istemeyenler için şu an en iyisi mate 20 pro geçen senenin telefonu olmasına rağmen.
0	kamerası düşük megapiksel.lcd ekrana sahip, yeterli renkligi vermez.Bu fiyata super amoled olmalıydı.yüz tanıma özelliği de yok.ürün maliyetinin çok çok üstünde bir fiyata satışa sunulmuş. imkanınız dahi olsa farklı olacağım diye almamanız en iyisi.
